row_index,Telescope,obs_code,mjd_start,mjd_end,bandwidth,cent_f,low_c_l,high_c_h,rec_time_s,rec_time_m,rec_time_h,rec_time_d
346,stk,r117_59921_262,59921.4687490891,59921.59319750313,98.4375,1381.46484375,1332.24609375,1430.68359375,10752.342971856706,179.20571619761176,2.9867619366268627,0.12444841402611928
347,wb,p11729,59921.49333333332,59921.98040463111,64.0,332.0,300.0,364.0,40305.44947546441,671.7574912577402,11.195958187629003,0.46649825781787513
348,stk,r117_59921_263,59921.59320336901,59921.71742345884,98.4375,1381.46484375,1332.24609375,1430.68359375,10732.61576103978,178.876929350663,2.9812821558443834,0.12422008982684932
349,stk,r117_59921_264,59921.71743818421,59921.84174759718,98.4375,1381.46484375,1332.24609375,1430.68359375,10740.333280409686,179.00555467349477,2.983425911224913,0.1243094129677047
350,stk,r117_59921_265,59921.841759854826,59921.98620548697,98.4375,1381.46484375,1332.24609375,1430.68359375,12480.102617572993,208.00171029288322,3.4666951715480536,0.14444563214783557
351,wb,p11730,59922.48,59922.97764809184,64.0,332.0,300.0,364.0,41196.47744146641,686.6079573577736,11.443465955962893,0.47681108149845386
352,tr,f22l18,59922.7153587963,59923.01006943861,128.0,1414.0,1350.0,1478.0,24194.937119353563,403.24895198922604,6.720815866487101,0.28003399443696253
353,stk,r117_59923_266,59923.45833803227,59923.582685876856,98.4375,1381.46484375,1332.24609375,1430.68359375,10743.653771979734,179.06089619966224,2.9843482699943706,0.12434784458309878
354,wb,p11731,59923.47791666666,59923.975564758526,64.0,332.0,300.0,364.0,41206.70105454046,686.7783509090077,11.446305848483462,0.4769294103534776
355,stk,r117_59923_267,59923.58296133032,59923.70928743165,98.4375,1381.46484375,1332.24609375,1430.68359375,10914.575154916385,181.90958591527308,3.031826431921218,0.12632610133005076
356,stk,r117_59923_268,59923.709297423855,59923.833394330286,98.4375,1381.46484375,1332.24609375,1430.68359375,10721.972715645097,178.69954526075162,2.9783257543458603,0.12409690643107751
357,tr,f22c20,59923.71883101852,59923.961446753376,256.0,4708.0,4580.0,4836.0,19944.97854982037,332.41630916367285,5.5402718193945475,0.23084465914143948
